Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,ID,Duration_ms,Genre,genre
0.331,0.375,0,-9.163,1,0.0408,0.862,0,0.302,0.4,78.376,1KzodV1NimamZa4pI9FgX9,186707,portugueserock,rock
0.594,0.243,8,-28.508,0,0.0579,0.971,0.966,0.111,0.756,108.439,57lB1s1WhTKLmkzFwVfBYs,147200,deeplatinjazz,jazz
0.665,0.778,5,-4.42,0,0.0494,0.151,0,0.137,0.852,119.974,07F3PrhWq1rEgTfRuFSAxx,226693,canadianpop,pop
0.427,0.0628,7,-19.349,1,0.0446,0.886,0.178,0.114,0.101,176.75,7hhSYj4uXPdb9wBazrBfbt,203547,undergroundpowerpop,pop
0.418,0.134,0,-16.057,0,0.0504,0.968,0.00698,0.0958,0.367,71.726,7cGob3wCF0jcYs6CEnWXCS,259286,etherpop,pop
0.453,0.308,8,-14.192,1,0.0349,0.902,0.968,0.11,0.58,126.649,5xoPqWPHoINioaKJBvxUuI,171773,classicalbaritone,classical
0.318,0.334,7,-9.267,0,0.0487,0.854,0,0.188,0.541,78.508,1VKsbTJ78G5bnfyoPz46LA,174000,russianjazz,jazz
0.427,0.587,2,-6.153,1,0.0414,0.577,1.69e-4,0.306,0.407,145.758,4lI1zQQPfWiRG1BhbPZtsZ,248000,kindierock,rock
0.6,0.574,10,-13.164,1,0.0395,0.00874,7.41e-6,0.117,0.559,122.141,2zsJifJM6zhl0Oh3mNgC5o,277293,canadianrock,rock
0.505,0.674,6,-6.291,1,0.139,0.285,0,0.163,0.552,120.456,1Ch9GzbQRNGweMmLqG855b,212793,venezuelanhiphop,hiphop
0.457,0.813,2,-7.333,1,0.0993,0.446,0.00444,0.938,0.79,126.002,7BgXSs22L212AGT26pdjUm,258200,southernrock,rock
0.571,0.719,11,-7.206,0,0.0378,0.021,0,0.458,0.565,80.694,1oM6VZma2gPmhnczmhRKVw,237680,arabichiphop,hiphop
0.41,0.842,6,-4.417,0,0.0298,0.0416,0.941,0.0946,0.0394,82.476,5ko1X8CQVAojn9maBWXNGK,444360,germanpost-rock,rock
0.505,0.869,8,-4.704,1,0.127,0.218,0,0.102,0.959,183.632,3jdPUDgEaZoXR7U5gAkibq,156893,peruvianhiphop,hiphop
0.628,0.757,7,-3.561,1,0.0281,0.113,0,0.263,0.727,96.016,0bPnT6i9H1p8Vd85GS6Z7I,172253,countrydawn,country
0.504,0.65,9,-2.291,0,0.0265,0.0229,0,0.154,0.422,99.988,1wQqvw8YYuWl8p9ewXqEea,281160,rockkapak,rock
0.758,0.678,9,-9.767,0,0.0324,0.592,0.175,0.105,0.748,108.062,0GCkO5NEvA5unlRMVNgPrY,173213,deeplatinjazz,jazz
0.493,0.814,9,-5.957,1,0.0323,0.0195,0,0.352,0.57,92.52,5kuw28lCV2Emaq4MovG1OI,277629,indonesianpoppunk,pop
0.498,0.832,4,-8.176,0,0.0657,2.73e-5,0.00208,0.0599,0.537,95.445,1rylYNWzq35YLoGIgYaRGR,214440,swedishrockabilly,rock
0.607,0.813,8,-4.666,1,0.0456,0.00172,1.49e-4,0.106,0.391,130.067,1lD5D1YTQSBRDyarh6IRid,365947,medievalrock,rock
0.805,0.687,3,-7.467,0,0.0753,0.179,0,0.0928,0.925,144.975,2LeQvPzpWNO067h7Lep7Yp,273493,classicswedishpop,pop
0.0612,0.269,4,-15.613,0,0.038,0.804,0.915,0.322,0.034,66.384,6vVq0qPWTZgsSWHQiBTrWp,812827,icelandicpop,pop
0.695,0.872,1,-4.264,0,0.233,0.351,0,0.182,0.789,103.299,2jF3XmvudzWpuPxBfOeoct,223573,finnishhiphop,hiphop
0.599,0.492,2,-10.995,0,0.057,0.227,0.00112,0.0984,0.291,115.015,2gSD1n9FlLQ0yBQE5bmffL,276310,belgianindierock,rock
0.412,0.882,11,-5.54,0,0.0369,5.96e-5,3.1e-4,0.0805,0.356,158.066,5UWwZ5lm5PKu6eKsHAGxOk,250547,indiegaragerock,rock
0.622,0.496,10,-16.02,0,0.0271,0.0866,2.78e-4,0.0779,0.732,94.979,25cp2MVnvQ6dGAsbxn8y1v,265984,panamanianrock,rock
0.838,0.452,6,-10.374,1,0.0646,0.497,0.00114,0.335,0.201,109.998,2R4YJu4rkvQLoqSPhg4iWo,183353,christianpop,pop
0.718,0.751,11,-6.698,1,0.0791,0.0124,0,0.0645,0.364,160.04,5nWcMMEUUY7QeNHCrQoiKe,186261,countryrap,country
0.632,0.873,4,-4.447,1,0.03,0.0261,0.0302,0.0839,0.974,150.014,7jFOWmzaiy0NlEGASO35g3,202002,indonesianpoppunk,pop
0.301,0.722,3,-5.577,1,0.0732,0.105,9.76e-5,0.108,0.243,142.681,6taQmpifbT9GMgfAUybxDh,151067,swedishpoppunk,pop
0.605,0.715,7,-7.201,1,0.0293,0.142,1.37e-5,0.0946,0.554,107.878,2OKWOQFs4dOANLQwg7lc8s,231164,greenlandicpop,pop
0.526,0.905,0,-8.81,1,0.0392,0.0106,0.0191,0.373,0.941,116.454,4mFIxFJg3Di1OIyVs7mcYh,233093,funkrock,rock
0.733,0.814,11,-7.072,1,0.0754,0.203,0,0.195,0.897,100.86,0n7PGQvIHZZP7twPEhUpBN,156280,norwegianhiphop,hiphop
0.893,0.513,4,-7.12,1,0.0565,0.0199,0,0.216,0.915,120.058,3LqUyFnfX79yDFgJgsaLBZ,176267,belgianpop,pop
0.797,0.953,5,-7.516,1,0.0483,0.101,0.928,0.0862,0.748,124.997,0fk5U3ymAhHwn6JaYxGDoO,234240,funkrock,rock
0.284,0.923,3,-5.061,1,0.107,1.1e-4,0,0.363,0.517,169.787,4GqNUnfmADBMMzMSphAdcs,182795,deeppoppunk,pop
0.817,0.539,6,-6.349,0,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,116H0KvKr2Zl4RPuVBruDO,210368,hiphop,hiphop
0.342,0.0511,2,-23.862,1,0.0349,0.988,0.939,0.0995,0.0652,92.785,0e7qXquFb7Ch6SBzIzaBAj,266539,neoclassical,classical
0.219,0.183,0,-16.681,1,0.0394,0.967,0.896,0.0588,0.033,140.23,2Bg3o15fQPrJqiZrmyZNse,526467,nordiccontemporaryclassical,classical
0.615,0.273,5,-14.118,0,0.0355,0.851,0.0155,0.146,0.554,120.194,0CgxBsU5UvARKGfVgBzJLh,157640,ecuadorianalternativerock,rock
0.694,0.757,11,-6.899,0,0.167,0.272,1.61e-4,0.0995,0.703,97.167,78KyOmqWmqLkQcXO1cA7MO,201999,ukpop,pop
0.527,0.826,1,-3.994,0,0.61,0.547,2.05e-6,0.739,0.875,180.077,19qwZ5gdugFmfnAMf5cNEp,178462,indonesianhiphop,hiphop
0.782,0.794,8,-6.939,1,0.0695,0.145,0,0.21,0.773,125.001,6F0fadzti0hhv8sIh6b2DF,261240,southafricanjazz,jazz
0.544,0.692,6,-6.425,1,0.0273,0.0268,0,0.428,0.756,79.969,1SjdR118mRaQlRm4I9iQlU,181868,modernblues,blues
0.254,0.0482,1,-21.424,1,0.0397,0.994,0.897,0.0248,0.0506,164.353,5QFKaaputhzsj3jRA5TH3x,660427,classicalsaxophone,classical
0.687,0.809,2,-5.513,1,0.049,0.0814,0.0338,0.192,0.795,127.011,0voT0MB7QUCP58GdSdSOWC,239375,etherpop,pop
0.667,0.552,4,-4.607,1,0.0289,0.101,0,0.0632,0.199,147.097,2xSy1OZNyDws1mXQig4bM5,234773,christianpop,pop
0.463,0.772,7,-4.315,0,0.0367,0.00678,0,0.11,0.364,91.931,0irDfV3ctQGVN69ograYiK,216800,ukpop,pop
0.673,0.902,2,-2.378,1,0.0347,0.0629,1.74e-4,0.0552,0.521,100.016,5Hroj5K7vLpIG4FNCRIjbP,194240,ukpop,pop
0.716,0.447,0,-10.264,1,0.181,0.758,0,0.229,0.698,94.556,5tT4DeUyU7rj5yp0Aom0OX,159253,colombianrock,rock
0.389,0.379,5,-13.27,1,0.0479,0.953,0.692,0.315,0.725,72.989,1Z1FuPSoFgGgoLV8O2zAos,187254,norwegianclassical,classical
0.629,0.839,4,-3.522,1,0.314,0.187,0,0.27,0.663,91.099,0fJcKGgvHu7zgEkIg2Xoex,272640,undergroundlatinhiphop,hiphop
0.648,0.574,5,-11.12,0,0.106,0.051,0,0.12,0.557,156.73,3adQpYatYOsgAKr853t4mZ,214067,funkrock,rock
0.372,0.478,6,-8.29,1,0.0282,0.553,0,0.0666,0.579,106.27,1tbDwHrwpNBNvxIuZUQU9I,176591,mexicanrock-and-roll,rock
0.408,0.934,4,-5.07,0,0.0662,4.96e-5,0.848,0.0618,0.4,160.041,2oThKRZFdmhenQKAqD0prS,290086,mathpop,pop
0.561,0.64,11,-5.042,0,0.287,0.0678,3.87e-4,0.148,0.196,78.464,3IrcvqIf3ZiBhf3xdsctRX,223364,experimentalhiphop,hiphop
0.697,0.245,4,-11.056,0,0.036,0.914,0,0.0986,0.281,133.925,7msOGQhkexWYDyUuzeiddi,224107,ecuadorianalternativerock,rock
0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-6,0.075,0.158,142.352,1znPMY3zq78mVuTAmOA9O7,388267,grungepop,pop
0.439,0.867,2,-8.213,1,0.032,4.34e-4,0.0552,0.253,0.683,141.666,5FebXBDSwDYN3iTFmbNx2F,168213,undergroundpowerpop,pop
0.37,0.473,0,-12.862,1,0.0374,0.851,0.329,0.103,0.673,184.225,50P7AFsgMS9YcOCIFwhi2j,287027,deepbrazilianpop,pop
0.789,0.524,1,-7.942,0,0.273,0.212,0,0.221,0.343,138.064,6pGuOWYOFDcSgmVvFWRWSv,147600,frenchhiphop,hiphop
0.388,0.746,1,-5.306,1,0.0318,5.63e-4,0,0.0719,0.458,159.675,6fQJg7MdQssgZJDhTJtFtd,251333,canadianrock,rock
0.675,0.319,5,-16.332,1,0.0301,0.372,2.65e-4,0.119,0.29,94.283,3ZsB0Uf4u4l5eUsSvdRKPb,269227,ostrock,rock
0.525,0.867,11,-4.987,1,0.0408,0.00479,0,0.371,0.487,95.016,55ClPcalaU0ZzNhlh2oqXi,193480,christianpop,pop
0.533,0.797,7,-6.159,1,0.335,0.141,0,0.301,0.769,95.833,6saHj38TKgTY3uhOF00edF,315987,arabichiphop,hiphop
0.795,0.691,5,-8.621,0,0.379,0.494,0,0.111,0.807,75.859,1tR9CKSU5z1l7tRpAoxnEt,247760,finnishhiphop,hiphop
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,popping,pop
0.727,0.431,6,-7.835,0,0.0306,0.196,4.24e-4,0.154,0.321,133.999,4RoOGOBrRCPTD9BXs8jVdN,262640,deepindierock,rock
0.434,0.715,5,-5.438,1,0.0323,0.0217,6.37e-6,0.0793,0.503,116.583,5KtVFVAl2BnlVUpsTSleQh,201907,swedishindiepop,pop
0.825,0.449,1,-9.859,1,0.0348,0.574,0.0034,0.0726,0.738,117.399,16fzReMJmcLlBccnZCTZNS,251347,portugueserock,rock
0.486,0.681,7,-4.099,1,0.0271,0.253,0,0.112,0.128,82.04,7560kmysZEPhVnNHAouWii,285667,christianpop,pop
0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-6,0.095,0.61,90.987,1yEwEiTpsaPhQi9lb5EVV4,203173,countrydawn,country
0.567,0.385,2,-7.422,1,0.0247,0.667,2.06e-5,0.198,0.491,97.985,4AmlCaeXM3XagACIS1CuWT,230200,deepbrazilianpop,pop
0.717,0.825,11,-5.561,0,0.399,0.00707,0,0.456,0.725,86.54,1wdp4kAP5mxpir8nn2d351,225227,italianpost-rock,rock
0.705,0.702,0,-4.783,0,0.108,0.138,0,0.364,0.771,140.059,2e9EZ2V5QGGZPMJacO3y0Y,250493,hiphop,hiphop
0.546,0.721,9,-5.47,1,0.03,0.00762,9.37e-5,0.0821,0.826,127.222,6hQszXJIYhtjmSTmDqZpeU,279893,southernrock,rock
0.211,0.713,9,-3.474,0,0.0362,8.87e-5,0.0264,0.254,0.623,92.109,38QcQ9iXMhQrLdtTnbozt2,213105,belgianpop,pop
0.524,0.168,9,-14.936,0,0.0421,0.907,0,0.109,0.184,97.446,49CcYj1bsJ0fjkICI8hIrR,266040,newwavepop,pop
0.686,0.747,6,-8.205,1,0.0391,0.0019,9.33e-5,0.104,0.621,124.009,5rbyy0S64X4VXBRir0DwQK,462027,deeplatinjazz,jazz
0.358,0.845,8,-8.258,1,0.0632,0.549,0.0479,0.106,0.398,170.051,5HgulkdJe3FUNs5xonYjHS,141628,garagerock,rock
0.461,0.945,2,-3.946,1,0.0735,0.0203,0.00295,0.538,0.798,81.781,3QsWogO0CZDSfrlZFGk0rw,219653,swedishindiepop,pop
0.378,0.331,5,-15.463,1,0.0342,0.843,0.568,0.0927,0.0655,100.064,4GjD33yTih7RqvGkH9C9wO,213948,deepindierock,rock
0.667,0.576,7,-9.937,1,0.0527,0.23,0.755,0.107,0.647,98.047,5FxpQbjyQ7IfXSu4RBdHK2,282947,jazzelectricbass,jazz
0.719,0.567,5,-10.39,0,0.137,0.579,3.89e-6,0.0385,0.708,90.075,5LHqxKauqQUsZeDKwllkmf,239613,jazzelectricbass,jazz
0.708,0.706,9,-6.405,1,0.0502,0.033,1.1e-4,0.0838,0.393,139.996,39qrS2papqdfecso0RxHM5,161386,estonianhiphop,hiphop
0.359,0.258,11,-13.451,1,0.0285,0.697,0.409,0.0932,0.196,138.183,5Wg1rGvDTfUgaaou0TnGV2,417506,finnishjazz,jazz
0.541,0.583,9,-8.291,1,0.023,0.0072,7.71e-5,0.224,0.585,84.819,70BB5qazFsfjl0Yo8DbtPZ,251907,ostrock,rock
0.428,0.627,9,-7.875,0,0.032,0.248,5.01e-5,0.211,0.378,177.939,4eJgRwEuimdOKiUpK3t9PC,201233,swedishindiepop,pop
0.77,0.734,1,-8.029,1,0.135,0.602,0.0311,0.143,0.686,93.08,01M4pDUAFpAiuvtNSDRSlE,492293,funkrock,rock
0.248,0.176,2,-20.537,1,0.0598,0.882,0.9,0.0799,0.0799,207.499,69Pe4tx62nCeoDZ8VjLTFE,345400,estonianjazz,jazz
0.651,0.908,2,-4.019,1,0.0577,0.00184,5.79e-4,0.384,0.769,123.851,5YBVDvTSSSiqv7KZDeUlXA,274160,deepindierock,rock
0.553,0.439,9,-11.559,1,0.0888,0.0753,0,0.0881,0.816,172.802,76ldRU5sbutmCKVgtTgP7P,240280,ostrock,rock
0.608,0.834,5,-2.969,1,0.0388,0.55,0,0.158,0.881,117.965,5KQQcb2NbTKLSemhUOlTb0,151520,regionalmexicanpop,pop
0.684,0.859,9,-9.772,1,0.0401,5.87e-4,0.00285,0.467,0.517,112.663,0jI2IdL3Bco0a3IPc7pHbY,234200,funkrock,rock
0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-5,0.114,0.592,116.01,4LihUZcWy0B6lGLqcJ8u9B,212000,ukpop,pop
0.5,0.446,0,-7.7,0,0.0338,0.382,4.83e-6,0.159,0.154,86.425,13CyXxYgWD9N5KwWqRYU1U,277653,gothicrock,rock
0.473,0.927,7,-4.04,1,0.0778,0.00135,8.24e-6,0.158,0.491,137.955,0Iv4Zf99gQsBlt22yd8k42,282000,indonesianpoppunk,pop
0.415,0.0815,5,-22.256,1,0.0371,0.993,0.874,0.129,0.0369,106.679,2Neathwx6PgBYkCY4B6kDG,389027,classicalpercussion,classical
0.711,0.846,7,-7.848,1,0.041,0.609,2.33e-4,0.0363,0.874,123.197,6lCaIr9Icpp4wT09rkRfGN,254373,bluesband,blues
0.358,0.48,9,-11.79,1,0.0849,0.521,0.00428,0.178,0.356,120.317,23W5DHu31ZLW9q0p2wQxfN,413947,classicswedishpop,pop
0.566,0.88,11,-7.828,0,0.0432,1.15e-4,0.431,0.179,0.249,131.989,59rhlXXX59ANrqawj2a3be,231573,swedishsynthpop,pop
